path,size_bytes,sha256,extension
01_PHAP_LY_HOP_DONG/Hop_dong_VA_phu_luc/BO_HOP_DONG_THANH_HOAI_ERP/03_TEMPLATE_HOP_DONG_THI_CONG_LAP_DAT_THANH_HO_BDA9B93A.docx,50168,5f2e2158419da56cbfb5848201b900b3b3ad9c5705ad65e458010229cc958bce,.docx
01_PHAP_LY_HOP_DONG/Hop_dong_VA_phu_luc/BO_HOP_DONG_THANH_HOAI_ERP/04_TEMPLATE_HOP_DONG_KINH_TE_THANH_HOAI.docx,42550,b439f33006711561e6b026d53801bf033bb4504292898d636b8a791735a22a1c,.docx
01_PHAP_LY_HOP_DONG/Hop_dong_VA_phu_luc/BO_HOP_DONG_THANH_HOAI_ERP/05_TEMPLATE_HOP_DONG_BAO_TRI_BAO_DUONG_THANH_H_CB7085C2.docx,48341,f8a069c75e9c057d16d0e991db2dac00d6f832d3975b86a376fff8881febe3ca,.docx
01_PHAP_LY_HOP_DONG/Hop_dong_VA_phu_luc/BO_HOP_DONG_THANH_HOAI_ERP/06_PHU_LUC_DIEU_KHOAN_CHINH_SACH_CHUNG_THANH_HOAI.docx,41176,9f50f010a446f1c865fe6684e827324554e1c8f656c6a2b34de85be8e877d025,.docx
01_PHAP_LY_HOP_DONG/Hop_dong_VA_phu_luc/BO_HOP_DONG_THANH_HOAI_ERP/07_PHU_LUC_BANG_KHOI_LUONG_TIEN_DO_THANH_TOAN_7F689CA9.docx,40487,f3f46681052f2993cd247231639274390c9907c5ac08fa724fb6b76447305423,.docx
01_PHAP_LY_HOP_DONG/Hop_dong_VA_phu_luc/MAU_Phu_luc_hop_dong_phat_sinh_khoi_luong.docx,39840,23d73d795c9f7422a588c958bc7165f1752e0c8ab25fe009e511cbc471fdcaba,.docx
02_THIET_KE_BAN_VE/Ban_ve_thi_cong_Shop_drawing/MAU_NGUON_Bang_ke_thay_doi_thiet_ke_duoc_duyet.docx,10328,02d6378ed842d643f07300c862b6b7413619149aca687024addca88551761ec2,.docx
02_THIET_KE_BAN_VE/Ban_ve_thi_cong_Shop_drawing/MAU_RFI_yeu_cau_thong_tin_thiet_ke.docx,39582,60d45d9b5d752e7d78179f20120666cee42f166a683907c25a58c7d063f242ee,.docx
02_THIET_KE_BAN_VE/Ban_ve_thiet_ke/MAU_Danh_muc_ban_ve_va_phieu_phat_hanh.docx,39677,a68203cc1948c6e39ac2b95343b5d9338470fb7039c3c20fa30e7432e722a8aa,.docx
02_THIET_KE_BAN_VE/Ban_ve_thiet_ke/MAU_Phieu_phat_hanh_thu_hoi_ban_ve.docx,39356,9bd325121d72fd3f85f1fb039c9a4add18a787608ffdda3afca79c6e8f2f9321,.docx
02_THIET_KE_BAN_VE/CAD_VA_XREF/MAU_Danh_muc_CAD_XREF_va_kiem_soat_revision.docx,39505,f1c0126d5ea5de3df2e123f0160d0d07868897a4517681226b64da29708dd482,.docx
02_THIET_KE_BAN_VE/CAD_VA_XREF/README.txt,159,ac7d9957506c5ee1ec0e438c56a69b0be2292b4402a778f2648e66717c09838a,.txt
03_VAT_TU_DE_TRINH/Catalogue_VA_thong_so_ky_thuat/MAU_Danh_muc_catalogue_va_thong_so_ky_thuat.docx,39490,ccc576dfe5fad3ffe657b57598907903e08f6c4df30feadc2ea51ded2768bc5a,.docx
03_VAT_TU_DE_TRINH/Catalogue_VA_thong_so_ky_thuat/README.txt,138,a0eb3d53f50a4f051cdcfb9e69e1a4706573eb61b3ebbb27f2f83b4ba31a581c,.txt
03_VAT_TU_DE_TRINH/Chung_chi_CO_-_CQ/BANG_THEO_DOI_CO_CQ.csv,285,41f19d0a220142faa896edf7a8f3c93a09286f238eb95f23bcd34599ce466193,.csv
03_VAT_TU_DE_TRINH/Chung_chi_CO_-_CQ/MAU_Phieu_giao_nhan_CO_CQ_va_ho_so_chat_luong.docx,39406,775f9f09b722c0de7591b314c66994e45abadb8446adc6e6daaadd71c255857e,.docx
03_VAT_TU_DE_TRINH/Chung_chi_CO_-_CQ/README.txt,145,29cecdaf3a164f820e0db1945a0c5ad481bbf70ac4be2300587217ad29c5c4f3,.txt
